i,j,x_upper,y_upper,x_lower,y_lower
0,1,2401.86,1184.24,2402.27,1181.47
0,1,2403.1,1184.26,2403.46,1181.82
0,1,2404.24,1184.28,2404.56,1182.13
0,1,2405.29,1184.29,2405.56,1182.43
0,1,2406.24,1184.3,2406.48,1182.69
0,1,2407.09,1184.31,2407.3,1182.93
0,1,2407.85,1184.32,2408.02,1183.14
0,1,2408.5,1184.33,2408.65,1183.33
0,1,2409.06,1184.33,2409.18,1183.48
0,1,2409.51,1184.33,2409.62,1183.61
0,1,2409.87,1184.34,2409.96,1183.71
0,1,2410.12,1184.34,2410.21,1183.79
0,1,2410.28,1184.34,2410.35,1183.83
0,1,2410.33,1184.34,2410.4,1183.84
0,2,2713.48,1149.92,2713.48,1149.92
0,2,2713.39,1150.48,2713.67,1149.39
0,2,2713.41,1151.05,2713.95,1148.89
0,2,2713.52,1151.64,2714.32,1148.42
0,2,2713.73,1152.25,2714.79,1147.98
0,2,2714.04,1152.87,2715.36,1147.58
0,2,2714.45,1153.51,2716.02,1147.21
0,2,2714.96,1154.16,2716.77,1146.87
0,2,2715.56,1154.83,2717.62,1146.56
0,2,2716.26,1155.51,2718.56,1146.29
0,2,2717.06,1156.2,2719.59,1146.06
0,2,2717.96,1156.9,2720.71,1145.85
0,2,2718.95,1157.62,2721.92,1145.68
0,2,2720.03,1158.34,2723.21,1145.55
0,2,2721.2,1159.08,2724.6,1145.45
0,2,2722.47,1159.82,2726.06,1145.39
0,2,2723.83,1160.57,2727.62,1145.37
0,2,2725.28,1161.33,2729.25,1145.38
0,2,2726.81,1162.09,2730.96,1145.42
0,2,2728.43,1162.86,2732.75,1145.5
0,2,2730.14,1163.63,2734.62,1145.62
0,2,2731.92,1164.4,2736.56,1145.78
0,2,2733.79,1165.17,2738.57,1145.97
0,2,2735.74,1165.95,2740.66,1146.2
0,2,2737.77,1166.72,2742.81,1146.47
0,2,2739.87,1167.49,2745.03,1146.77
0,2,2742.05,1168.26,2747.31,1147.11
0,2,2744.29,1169.03,2749.65,1147.49
0,2,2746.61,1169.79,2752.06,1147.9
0,2,2748.99,1170.55,2754.52,1148.35
0,2,2751.43,1171.31,2757.03,1148.83
0,2,2753.94,1172.05,2759.6,1149.34
0,2,2756.51,1172.8,2762.21,1149.89
0,2,2759.13,1173.53,2764.87,1150.47
0,2,2761.81,1174.26,2767.58,1151.08
0,2,2764.53,1174.98,2770.32,1151.73
0,2,2767.31,1175.69,2773.11,1152.4
0,2,2770.13,1176.39,2775.93,1153.1
0,2,2772.99,1177.09,2778.78,1153.83
0,2,2775.89,1177.77,2781.67,1154.59
0,2,2778.83,1178.44,2784.58,1155.37
0,2,2781.81,1179.11,2787.52,1156.17
0,2,2784.81,1179.77,2790.48,1157
0,2,2787.84,1180.41,2793.45,1157.85
0,2,2790.89,1181.05,2796.45,1158.72
0,2,2793.96,1181.67,2799.46,1159.61
0,2,2797.05,1182.29,2802.47,1160.52
0,2,2800.16,1182.89,2805.5,1161.44
0,2,2803.27,1183.48,2808.53,1162.38
0,2,2806.4,1184.07,2811.56,1163.33
0,2,2809.53,1184.64,2814.59,1164.29
0,2,2812.65,1185.2,2817.62,1165.26
0,2,2815.78,1185.75,2820.64,1166.24
0,2,2818.9,1186.29,2823.65,1167.22
0,2,2822.01,1186.82,2826.64,1168.22
